,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
173,185,Walmart Supercenter, 1800 Lawrence St, Gainesville,TX,76240,27123.0,40.8,56886.0,27642.0,4696.0,17.31371898388821
174,188,Walmart Supercenter, 3439 William St, Cape Girardeau,MO,63701,38651.0,33.5,50848.0,26964.0,7074.0,18.302243150241907
175,186,Walmart Supercenter, 301 S Village Rd, El Dorado,KS,67042,17603.0,38.1,46430.0,23674.0,2816.0,15.997273192069533
176,192,Walmart Supercenter, 2200 Brookmeade Dr, Columbia,TN,38401,57246.0,38.7,49028.0,24437.0,8568.0,14.966984592809977
177,189,Walmart Supercenter, 2206 N Baltimore St, Kirksville,MO,63501,21513.0,24.9,37533.0,21864.0,5269.0,24.492167526611816
178,190,Walmart Supercenter, 1500 1St St, Kennett,MO,63857,12492.0,41.2,33378.0,20377.0,3214.0,25.72846621837976
179,194,Walmart Supercenter, 4900 Garth Rd, Baytown,TX,77521,57125.0,32.3,62513.0,26785.0,8699.0,15.22800875273523
180,196,Walmart Supercenter, 1450 E Main St, Carbondale,IL,62901,26515.0,24.8,23801.0,19493.0,9300.0,35.0744861399208
181,146,Walmart Supercenter, 1102 Us Highway 271 North, Gilmer,TX,75644,12579.0,38.5,42472.0,23031.0,2001.0,15.90746482232292
182,195,Walmart Supercenter, 2203 Patsy Ln, Excelsior Springs,MO,64024,17082.0,37.9,55441.0,24851.0,2226.0,13.031260976466456
183,148,Walmart Supercenter, 3855 Lamar Ave, Paris,TX,75462,11691.0,42.2,58350.0,31146.0,1207.0,10.324180993926952
184,197,Walmart Supercenter, 1730 E Jackson St, Macomb,IL,61455,21368.0,27.5,40883.0,21198.0,4900.0,22.931486334706104
185,200,Walmart Supercenter, 1941 W Morton Ave, Jacksonville,IL,62650,26858.0,39.8,47538.0,25386.0,3564.0,13.269789262044828
186,198,Walmart Supercenter, 1870 W Main St, Salem,IL,62881,10927.0,41.7,46662.0,25970.0,1669.0,15.274091699460053
187,201,Walmart Supercenter, 2608 Green Mount Commons Dr, Belleville,IL,62221,29031.0,38.0,59562.0,34926.0,3051.0,10.509455409734421
188,199,Walmart Supercenter, 825 Malerich Dr, Lincoln,IL,62656,19831.0,39.5,55094.0,24169.0,1751.0,8.829610206242752
189,204,Walmart Supercenter, 1500 Us Highway 62 W, Princeton,KY,42445,11180.0,41.9,48047.0,24919.0,1827.0,16.341681574239715
190,203,Walmart Supercenter, 937 Park Circle Dr, Brookfield,MO,64628,5931.0,41.2,36687.0,20743.0,1261.0,21.26117012308211
191,205,Walmart Supercenter, 1002 W Beacon St, Philadelphia,MS,39350,25662.0,35.6,37500.0,19196.0,5672.0,22.1027199750604
192,207,Walmart Supercenter, 772 N Airport Rd, Cleveland,OK,74020,7241.0,42.6,49198.0,25046.0,913.0,12.608755696726972
193,206,Walmart Supercenter, 2041 N Redbud Blvd, Mckinney,TX,75069,36879.0,36.4,52504.0,31653.0,5108.0,13.850700940914884
194,163,Walmart Supercenter, 4810 North St, Nacogdoches,TX,75965,18811.0,29.9,45588.0,28362.0,3527.0,18.749667747594494
195,210,Walmart, 500 East Highway 270, Holdenville,OK,74848,8079.0,37.4,39005.0,16869.0,1130.0,13.986879564302512
196,212,Walmart Supercenter, 333 N Interstate Dr, Norman,OK,73069,24635.0,30.8,46304.0,25870.0,4267.0,17.32088491982951
197,209,Walmart, 1516 N 18Th St, Ozark,AR,72949,8761.0,43.4,38059.0,19970.0,2007.0,22.90834379637028
198,211,Walmart Supercenter, 401 Coke Ave, Hillsboro,TX,76645,10477.0,36.4,41845.0,20749.0,2107.0,20.110718717190036
