,City,State,City_State,Latitude,Longitude
241, Waxahachie,TX," Waxahachie, TX",32.3865312,-96.8483311
242, Tupelo,MS," Tupelo, MS",34.2576066,-88.7033859
243, Terrell,TX," Terrell, TX",32.7359626,-96.2752569
244, Dickson,TN," Dickson, TN",36.0770048,-87.3877899
245, Grapevine,TX," Grapevine, TX",32.9342919,-97.0780654
246, Savannah,TN," Savannah, TN",35.2248034,-88.2492037
247, Benton,IL," Benton, IL",37.9967163,-88.92006850000001
248, Webb City,MO," Webb City, MO",37.1464475,-94.4630035
249, Bowie,TX," Bowie, TX",33.5589953,-97.84864569999999
250, Iuka,MS," Iuka, MS",34.8117565,-88.19004149999999
251, Lawton,OK," Lawton, OK",34.6035669,-98.39592909999999
252, Franklin,TN," Franklin, TN",35.9250637,-86.8688899
253, Fulton,MS," Fulton, MS",34.2739933,-88.40921329999999
254, Winona,MS," Winona, MS",33.4820678,-89.7281369
255, Stigler,OK," Stigler, OK",35.253708,-95.1230169
256, Moore,OK," Moore, OK",35.3395079,-97.48670279999999
257, Livingston,TX," Livingston, TX",30.711029,-94.9329898
258, Sulphur,OK," Sulphur, OK",34.5078669,-96.9683498
259, Heber Springs,AR," Heber Springs, AR",35.4914677,-92.03125999999999
260, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
261, Bridge City,TX," Bridge City, TX",30.0207678,-93.84572550000001
262, Franklin,KY," Franklin, KY",36.722263,-86.57721769999999
263, Jasper,AL," Jasper, AL",33.8312185,-87.2775053
264, Mansfield,TX," Mansfield, TX",32.5631924,-97.1416768
265, Huntsville,TX," Huntsville, TX",30.7235263,-95.55077709999999
266, De Queen,AR," De Queen, AR",34.0378916,-94.3413168
267, Woodville,TX," Woodville, TX",30.7752011,-94.4154758
268, Rockdale,TX," Rockdale, TX",30.6554759,-97.00137439999999
269, Mcgehee,AR," Mcgehee, AR",33.6255234,-91.3945566
270, Lockhart,TX," Lockhart, TX",29.8849441,-97.6699996
271, Navasota,TX," Navasota, TX",30.3879845,-96.0877349
272, Central City,KY," Central City, KY",37.2939322,-87.1233292
273, Eureka,MO," Eureka, MO",38.5025537,-90.62790439999999
274, Gonzales,TX," Gonzales, TX",29.5016257,-97.4524926
275, Boaz,AL," Boaz, AL",34.2031662,-86.15209689999999
276, Porter,TX," Porter, TX",30.1044506,-95.2364276
277, Bowling Green,KY," Bowling Green, KY",36.9685219,-86.4808043
278, Jacksonville,AL," Jacksonville, AL",33.8137125,-85.76135359999999
279, Cleveland,TX," Cleveland, TX",30.34132,-95.0854885
280, Gadsden,AL," Gadsden, AL",34.014264,-86.0066386
281, Holly Springs,MS," Holly Springs, MS",34.76759670000001,-89.44868939999999
282, Dardanelle,AR," Dardanelle, AR",35.2231408,-93.1579532
283, Murphysboro,IL," Murphysboro, IL",37.7644952,-89.3350888
284, Springfield,TN," Springfield, TN",36.5092118,-86.8849984
285, Crowley,LA," Crowley, LA",30.2140928,-92.3745761
286, Abbeville,LA," Abbeville, LA",29.9746502,-92.13429210000001
287, Rockwall,TX," Rockwall, TX",32.93123360000001,-96.4597089
288, Manchester,TN," Manchester, TN",35.4817431,-86.0885993
289, Ville Platte,LA," Ville Platte, LA",30.6879749,-92.2715157
290, Franklin,LA," Franklin, LA",29.7960399,-91.5015002
291, Attalla,AL," Attalla, AL",34.0217639,-86.0885852
292, Vandalia,IL," Vandalia, IL",38.9606009,-89.0936778
293, Arkadelphia,AR," Arkadelphia, AR",34.1209292,-93.0537839
294, Marlin,TX," Marlin, TX",31.3062874,-96.89804389999999
295, Bryan,TX," Bryan, TX",30.6743643,-96.3699632
296, Fayetteville,TN," Fayetteville, TN",35.1520266,-86.57055079999999
297, Brenham,TX," Brenham, TX",30.1668828,-96.39774419999999
298, Mansfield,LA," Mansfield, LA",32.0376629,-93.70018189999999
299, Higginsville,MO," Higginsville, MO",39.0725121,-93.7171621
300, Bristow,OK," Bristow, OK",35.8306334,-96.39111799999999
301, Richmond,MO," Richmond, MO",39.27862200000001,-93.9768876
302, Waterloo,IL," Waterloo, IL",38.3358857,-90.14983409999999
303, West Monroe,LA," West Monroe, LA",32.5184775,-92.14763529999999
304, Anniston,AL," Anniston, AL",33.6598257,-85.8316318
305, Sulphur,LA," Sulphur, LA",30.2365943,-93.37737829999999
306, Victoria,TX," Victoria, TX",28.8052674,-97.0035982
307, Jay,OK," Jay, OK",36.4211914,-94.7968959
308, Beaver Dam,KY," Beaver Dam, KY",37.4019918,-86.8758256
309, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
310, Jackson,TN," Jackson, TN",35.6145169,-88.81394689999999
311, Sheridan,AR," Sheridan, AR",34.3070406,-92.4012654
312, Fordyce,AR," Fordyce, AR",33.8137161,-92.4129303
313, Lamar,MO," Lamar, MO",37.49504780000001,-94.27661479999999
314, Carlinville,IL," Carlinville, IL",39.27976990000001,-89.8817662
315, Checotah,OK," Checotah, OK",35.4700993,-95.5230356
316, Ennis,TX," Ennis, TX",32.3293111,-96.6252679
317, Marysville,KS," Marysville, KS",39.8411129,-96.64724199999999
318, Hiawatha,KS," Hiawatha, KS",39.8525033,-95.53581559999999
319, Palestine,TX," Palestine, TX",31.7621153,-95.6307891
320, Raymore,MO," Raymore, MO",38.801953,-94.4527294
321, Taylorville,IL," Taylorville, IL",39.548935,-89.294533
322, Monticello,AR," Monticello, AR",33.6289974,-91.7909639
323, Augusta,KS," Augusta, KS",37.6866844,-96.9767023
324, El Campo,TX," El Campo, TX",29.19664049999999,-96.2696867
325, Indianola,MS," Indianola, MS",33.4509513,-90.6550917
326, Chester,IL," Chester, IL",37.9136628,-89.82205049999999
327, York,NE," York, NE",40.8673915,-97.5920867
328, Tomball,TX," Tomball, TX",30.0971621,-95.6160549
329, Versailles,MO," Versailles, MO",38.4314141,-92.8410274
330, Owensville,MO," Owensville, MO",38.3456023,-91.5015487
331, Graham,TX," Graham, TX",33.1070597,-98.589502
332, Alma,AR," Alma, AR",35.4778653,-94.2218752
333, Fayetteville,AR," Fayetteville, AR",36.082156,-94.17185420000001
334, Collinsville,IL," Collinsville, IL",38.6703266,-89.9845476
335, Arab,AL," Arab, AL",34.31814970000001,-86.4958219
336, Winfield,AL," Winfield, AL",33.928993,-87.8172457
337, Cushing,OK," Cushing, OK",35.9850639,-96.76697
338, High Ridge,MO," High Ridge, MO",38.4589432,-90.5365126
339, Fredericktown,MO," Fredericktown, MO",37.55977540000001,-90.2940069
340, Auburn,AL," Auburn, AL",32.6098566,-85.48078249999999
341, Pearl,MS," Pearl, MS",32.2745912,-90.13203109999999
342, Madisonville,TN," Madisonville, TN",35.5197984,-84.3635338
343, Winfield,KS," Winfield, KS",37.2397486,-96.9955918
344, Parsons,KS," Parsons, KS",37.34033840000001,-95.2610838
345, Marshall,MO," Marshall, MO",39.1230777,-93.1968704
346, Center,TX," Center, TX",31.7954512,-94.1790862
347, Opelika,AL," Opelika, AL",32.6454116,-85.3782795
348, Dodge City,KS," Dodge City, KS",37.7527982,-100.0170787
349, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
350, Coweta,OK," Coweta, OK",35.9517674,-95.65081400000001
351, Bossier City,LA," Bossier City, LA",32.5159852,-93.7321228
352, Holton,KS," Holton, KS",39.4652724,-95.7363723
353, Huntsville,AR," Huntsville, AR",36.086187,-93.74130319999999
354, Ozark,MO," Ozark, MO",37.0208865,-93.2060163
355, Waldron,AR," Waldron, AR",34.8984323,-94.0907634
356, Silsbee,TX," Silsbee, TX",30.3490976,-94.17796240000001
357, Lumberton,TX," Lumberton, TX",30.2657655,-94.1996286
358, Jennings,LA," Jennings, LA",30.22242839999999,-92.657085
359, Ottawa,KS," Ottawa, KS",38.615768,-95.2686366
360, Chandler,OK," Chandler, OK",35.7017314,-96.88085819999999
361, Waverly,TN," Waverly, TN",36.0839489,-87.794747
362, Fort Smith,AR," Fort Smith, AR",35.3859242,-94.39854749999999
363, Weatherford,OK," Weatherford, OK",35.5261633,-98.7075744
364, Mission,TX," Mission, TX",26.2159066,-98.32529319999999
365, Moulton,AL," Moulton, AL",34.4812062,-87.29335329999999
366, Mcallen,TX," Mcallen, TX",26.2034071,-98.23001239999999
367, Anderson,SC," Anderson, SC",34.5034394,-82.6501332
368, Longview,TX," Longview, TX",32.5007037,-94.74048909999999
369, Conroe,TX," Conroe, TX",30.3118769,-95.45605119999999
370, Longview,TX," Longview, TX",32.5007037,-94.74048909999999
371, Russellville,AL," Russellville, AL",34.5078726,-87.7286431
372, Oneonta,AL," Oneonta, AL",33.9481537,-86.472764
373, San Marcos,TX," San Marcos, TX",29.8832749,-97.9413941
374, Leesville,LA," Leesville, LA",31.1435194,-93.260998
375, Killeen,TX," Killeen, TX",31.1171194,-97.72779589999999
376, Jackson,TN," Jackson, TN",35.6145169,-88.81394689999999
377, Port Arthur,TX," Port Arthur, TX",29.8849504,-93.93994699999999
378, Haleyville,AL," Haleyville, AL",34.226488,-87.6214133
379, Breaux Bridge,LA," Breaux Bridge, LA",30.2735323,-91.8992837
380, Murray,KY," Murray, KY",36.6103334,-88.31476099999999
381, Houston,MS," Houston, MS",33.8984461,-88.99922670000001
382, Port Isabel,TX," Port Isabel, TX",26.0734119,-97.2085844
383, Athens,TX," Athens, TX",32.2048735,-95.8555207
384, Murfreesboro,TN," Murfreesboro, TN",35.8456213,-86.39027
385, Wichita Falls,TX," Wichita Falls, TX",33.9137085,-98.4933873
386, Fairbury,NE," Fairbury, NE",40.1466169,-97.1798456
387, Granbury,TX," Granbury, TX",32.4420826,-97.7941967
388, Wellington,KS," Wellington, KS",37.26530040000001,-97.3717118
389, Sulphur Springs,TX," Sulphur Springs, TX",33.1384479,-95.6010668
390, Wichita Falls,TX," Wichita Falls, TX",33.9137085,-98.4933873
391, Decatur,TX," Decatur, TX",33.2342834,-97.5861393
392, Robinson,IL," Robinson, IL",39.0053201,-87.7391935
393, Tupelo,MS," Tupelo, MS",34.2576066,-88.7033859
394, Alabaster,AL," Alabaster, AL",33.2442813,-86.8163773
395, Clanton,AL," Clanton, AL",32.8387371,-86.6294262
396, Brent,AL," Brent, AL",32.9373463,-87.1647184
397, Greenville,TX," Greenville, TX",33.1384488,-96.11080659999999
398, Zachary,LA," Zachary, LA",30.64851909999999,-91.1564961
399, Edinburg,TX," Edinburg, TX",26.3017374,-98.1633432
400, Paducah,KY," Paducah, KY",37.0833893,-88.6000478
401, Talladega,AL," Talladega, AL",33.4359416,-86.1058048
402, Plaquemine,LA," Plaquemine, LA",30.2890833,-91.23427439999999
403, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
404, Huntsville,AL," Huntsville, AL",34.7303688,-86.5861037
405, Highland,IL," Highland, IL",38.7394918,-89.6712008
406, Carlyle,IL," Carlyle, IL",38.6103264,-89.3725796
407, Colony,TX," Colony, TX",33.0806083,-96.89283089999999
408, Breckenridge,TX," Breckenridge, TX",32.7556768,-98.90228979999999
409, Sealy,TX," Sealy, TX",29.7807878,-96.1571833
410, Rockport,TX," Rockport, TX",28.0205733,-97.0544341
411, Kingsville,TX," Kingsville, TX",27.5158689,-97.85610899999999
412, Smyrna,TN," Smyrna, TN",35.9828412,-86.5186045
413, Hondo,TX," Hondo, TX",29.3474565,-99.14142489999999
414, Springfield,MO," Springfield, MO",37.2089572,-93.29229889999999
415, Madisonville,TX," Madisonville, TX",30.9499111,-95.9116188
416, Leitchfield,KY," Leitchfield, KY",37.4800544,-86.2938637
417, Del Rio,TX," Del Rio, TX",29.3708857,-100.8958674
418, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
419, Port Arthur,TX," Port Arthur, TX",29.8849504,-93.93994699999999
420, Mcallen,TX," Mcallen, TX",26.2034071,-98.23001239999999
421, Mayfield,KY," Mayfield, KY",36.7417235,-88.6367154
422, Shreveport,LA," Shreveport, LA",32.5251516,-93.7501789
423, Fairfield,IL," Fairfield, IL",38.378937,-88.3597683
424, Columbia,MO," Columbia, MO",38.9517053,-92.3340724
