,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
47,56,Walmart Supercenter, 1309 Nw 12Th Ave, Ava,MO,65608,9258,46.4,31913,17240,1787,19.3022251
48,57,Walmart, 1600 W Main St, Walnut Ridge,AR,72476,6584,40,39301,18939,1130,17.16281896
49,52,Walmart Supercenter, 1601 Albert Pike Rd, Hot Springs,AR,71913,45631,45.5,41635,27796,7627,16.71451426
50,58,Walmart Supercenter, 2409 E Main St, Russellville,AR,72802,21699,39.7,49489,26005,2775,12.78860777
51,54,Walmart Supercenter, 2004 S Pleasant St, Springdale,AR,72764,54717,29.2,42496,20850,12873,23.52650913
52,55,Walmart Supercenter, 1400 East Main St, Booneville,AR,72927,8543,40.4,37922,19559,1542,18.04986539
53,64,Walmart Supercenter, 1100 S Dupree Ave, Brownsville,TN,38012,13841,39.6,35884,21865,2680,19.36276281
54,61,Walmart Supercenter, 301 E Cooper St, Warrensburg,MO,64093,27875,27.3,47338,22230,5518,19.7955157
55,60,Walmart Supercenter, 101 Highway 47 E, Troy,MO,63379,24878,36.9,63411,25802,2356,9.470214647
56,66,Walmart Supercenter, 230 Market St., Clarksville,AR,72830,15459,35.9,37065,19454,3211,20.77107187
57,63,Walmart Supercenter, 410 S Dewey Ave, Wagoner,OK,74467,15226,41.8,40429,21973,2982,19.58492053
58,69,Walmart Supercenter, 650 S Truman Blvd, Festus,MO,63028,26259,43,54302,26638,2444,9.307285121
59,68,Walmart Supercenter, 800 Highway 64 E, Wynne,AR,72396,12941,38,43941,24254,2385,18.42979677
60,62,Walmart Supercenter, 3700 E Highway 18, Blytheville,AR,72315,22683,34.3,39806,20063,5259,23.18476392
61,70,Walmart Supercenter, 798 W Service Rd, West Memphis,AR,72301,24773,33.4,30182,17165,7519,30.35159246
62,65,Walmart Supercenter, 350 Park Ridge Rd, Sullivan,MO,63080,13220,38.4,42002,22386,1943,14.69742814
63,71,Walmart Supercenter, 1415 Highway 67 S, Pocahontas,AR,72455,12396,40.9,36473,21757,2637,21.27299129
64,73,Walmart Supercenter, 1002 W Taft St, Sapulpa,OK,74066,32474,38.9,51926,25263,4434,13.65400012
65,76,Walmart Supercenter, 1000 W Trimble Ave, Berryville,AR,72616,10654,37,40317,20961,1707,16.0221513
66,74,Walmart Supercenter, 2720 W Keiser Ave, Osceola,AR,72370,7888,36.3,28893,18343,2579,32.69523327
67,78,Walmart Supercenter, 14740 State Hwy #38, Marshfield,MO,65706,15312,40.2,44420,21336,2354,15.37356322
68,79,Walmart Supercenter, 2623 W 7Th St, Joplin,MO,64801,37751,36.9,40866,23594,6735,17.840587
69,75,Walmart Supercenter, 3636 Monroe Hwy, Pineville,LA,71360,36928,34,47089,23163,6150,16.65402946
70,77,Walmart Supercenter, 3701 N Main St, Taylor,TX,76574,18939,37.6,50030,24571,2307,12.18121337
71,80,Walmart Supercenter, 3001 W Broadway, Columbia,MO,65203,56652,35.6,61559,37335,7134,12.59267104
72,81,Walmart Supercenter, Rr 6 Box 1895, Stilwell,OK,74960,13861,35,32214,15381,4436,32.00346295
73,85,Walmart Supercenter, 17309 Interstate 30 S, Benton,AR,72015,29978,36,51517,23935,3105,10.35759557
74,83,Walmart Supercenter, 60 Highway 79 N, Magnolia,AR,71753,16813,32.9,39331,20907,3856,22.93463391
75,82,Walmart Supercenter, 1750 S Perryville Blvd, Perryville,MO,63775,16661,40.1,54123,24646,1255,7.532561071
76,87,Walmart Supercenter, 1379 Homer Rd, Minden,LA,71055,19176,40.2,31486,19500,3866,20.16061744
77,86,Walmart Supercenter, 2825 N Kansas Expy, Springfield,MO,65803,41038,35.8,35871,20583,9577,23.33690726
78,89,Walmart Supercenter, 94 Cecil St, Camdenton,MO,65020,16058,46.7,51312,24639,2786,17.34960767
79,90,Walmart Supercenter, 2115 S Main St, Grove,OK,74344,15197,52.7,40510,26510,2041,13.43028229
80,91,Walmart Supercenter, 205 Deadrick Rd, Forrest City,AR,72335,19523,36.3,34713,15217,4442,22.75265072
81,88,Walmart Supercenter, 2100 N Main Ave, Mountain Grove,MO,65711,9459,45.6,32756,19864,2149,22.7191035
82,93,Walmart Supercenter, 201 Lanny Bridges Ave, Covington,TN,38019,15824,37.9,37485,23085,3430,21.67593529
83,94,Walmart Supercenter, 8445 Us Highway 51 N, Millington,TN,38053,26573,40.8,53201,27375,4028,15.15824333
84,95,Walmart Supercenter, 407 No. State St, Desloge,MO,63601,15289,37.5,35800,18404,3503,22.91189744
85,11,Walmart Supercenter, 65 Wal Mart Dr, Mountain Home,AR,72653,27675,52.8,41074,26433,2935,10.60523939
86,99,Walmart Supercenter, 1445 E Central Ct, Union,MO,63084,18669,36.4,54461,25868,1864,9.984466227
87,97,Walmart Supercenter, 628 Highway 51 N, Ripley,TN,38063,17045,37,34666,18334,4171,24.47051921
88,98,Walmart Supercenter, 6091 Mer Rouge Rd, Bastrop,LA,71220,22382,37.2,31287,18002,6228,27.82593155
89,101,Walmart Supercenter, 500 S Bishop Ave, Rolla,MO,65401,32652,31.3,41109,23678,6889,21.09824819
90,100,Walmart Supercenter, 406 S Walton Blvd, Bentonville,AR,72712,51858,33.2,80764,39036,3574,6.891897104
91,103,Walmart Supercenter, 196 Shawnee Mall Dr, Shawnee,OK,74804,20930,36.1,50148,25536,2490,11.89679885
92,102,Walmart Supercenter, 406 E 22Nd St, Stuttgart,AR,72160,9951,39.5,39021,24321,2072,20.82202794
93,96,Walmart Supercenter, 1700 N State Route 291, Harrisonville,MO,64701,14275,39.2,50570,25522,1908,13.36602452
94,106,Walmart Supercenter, 1405 Middle Rd, Fulton,KY,42041,4555,43.9,30026,19611,1065,23.38090011
95,104,Walmart Supercenter, 15427 S First St, Milan,TN,38358,11524,41.4,46681,23424,1687,14.63901423
